code,lat,lon
E02000001,51.519150,-0.094719
E02000002,51.584148,0.134591
E02000003,51.572147,0.139426
E02000004,51.560455,0.177228
E02000005,51.561178,0.142776
E02000007,51.555792,0.155012
E02000008,51.552733,0.135029
E02000009,51.551247,0.116563
E02000010,51.547297,0.149688
E02000011,51.544491,0.165381
E02000012,51.544042,0.100019
E02000013,51.542487,0.121461
E02000014,51.539637,0.145756
E02000015,51.539319,0.160494
E02000016,51.539971,0.076034
E02000017,51.539810,0.086904
E02000018,51.537923,0.114723
E02000019,51.535647,0.132315
E02000020,51.531179,0.096235
E02000021,51.531728,0.155041
E02000022,51.531868,0.080338
E02000023,51.527971,0.110759
E02000024,51.654174,-0.203435
E02000025,51.651945,-0.180878
E02000026,51.649637,-0.158207
E02000027,51.645263,-0.204637
E02000028,51.644918,-0.177541
E02000029,51.643124,-0.164874
E02000030,51.645094,-0.221372
E02000031,51.632040,-0.173726
E02000032,51.631866,-0.140362
E02000033,51.627315,-0.149512
E02000034,51.623137,-0.163870
E02000035,51.620955,-0.182093
E02000036,51.623007,-0.263986
E02000037,51.622192,-0.280944
E02000038,51.614601,-0.154950
E02000039,51.615706,-0.244309
E02000040,51.612532,-0.215497
E02000041,51.613579,-0.272007
E02000042,51.612352,-0.177753
E02000043,51.611249,-0.193017
E02000044,51.609227,-0.254422
E02000045,51.605096,-0.148697
E02000046,51.602298,-0.189005
E02000047,51.603528,-0.263692
E02000048,51.602168,-0.213386
E02000049,51.602300,-0.246050
E02000050,51.600266,-0.175918
E02000051,51.594942,-0.198468
E02000052,51.592296,-0.170150
E02000054,51.592323,-0.232058
E02000055,51.588077,-0.222786
E02000056,51.584766,-0.177870
E02000057,51.583605,-0.216326
E02000058,51.582547,-0.197970
E02000059,51.579546,-0.241296
E02000060,51.577529,-0.208213
E02000061,51.570936,-0.196411
E02000062,51.568118,-0.220296
E02000063,51.565026,-0.211118
E02000064,51.562117,-0.200755
E02000065,51.508113,0.126415
E02000066,51.493712,0.129123
E02000067,51.489044,0.147048
E02000068,51.484874,0.172244
E02000069,51.483062,0.159276
E02000070,51.480151,0.136023
E02000071,51.474350,0.157025
E02000072,51.472647,0.188472
