code,lat,lon
E06000001,54.680493,-1.226806
E06000002,54.548853,-1.226342
E06000003,54.569313,-1.056675
E06000004,54.565129,-1.321241
E06000005,54.531550,-1.547196
E06000006,53.351059,-2.721182
E06000007,53.399597,-2.577063
E06000008,53.728802,-2.477701
E06000009,53.818925,-3.035013
E06000010,53.765778,-0.341010
E06000011,53.847425,-0.456760
E06000012,53.557278,-0.089972
E06000013,53.580169,-0.624890
E06000014,53.968095,-1.083087
E06000015,52.912376,-1.471321
E06000016,52.635155,-1.124854
E06000017,52.658171,-0.678542
E06000018,52.964862,-1.173890
E06000019,52.086276,-2.699767
E06000020,52.694315,-2.459281
E06000021,53.015439,-2.161323
E06000022,51.362778,-2.425556
E06000023,51.458781,-2.586187
E06000024,51.393136,-2.849457
E06000025,51.514138,-2.497431
E06000026,50.390689,-4.126735
E06000027,50.450544,-3.545763
E06000030,51.573127,-1.785805
E06000031,52.585375,-0.264962
E06000032,51.896085,-0.433166
E06000033,51.546947,0.702063
E06000034,51.496638,0.345811
E06000035,51.377269,0.539695
E06000036,51.395739,-0.756994
E06000037,51.427210,-1.234159
E06000038,51.454169,-0.982094
E06000039,51.512403,-0.591754
E06000040,51.492072,-0.678040
E06000041,51.427520,-0.883220
E06000042,52.038668,-0.754098
E06000043,50.836696,-0.147420
E06000044,50.812521,-1.074112
E06000045,50.918734,-1.395081
E06000046,50.692802,-1.250492
E06000047,54.759149,-1.589479
E06000049,53.189461,-2.313411
E06000050,53.229421,-2.770290
E06000051,52.693819,-2.718245
E06000052,50.332962,-4.924278
E06000053,49.916004,-6.311011
E06000054,51.303060,-1.992391
E06000055,52.141372,-0.474594
E06000056,51.982683,-0.462265
E06000057,55.174535,-1.730235
E06000058,50.739729,-1.883558
E06000059,50.766262,-2.273057
E06000060,51.709033,-0.743849
E06000061,52.384407,-0.677044
E06000062,52.226017,-0.955381
E07000008,52.203184,0.136520
E07000009,52.339512,0.289626
E07000010,52.580291,0.068034
E07000011,52.337340,-0.191179
E07000012,52.192537,0.074770
E07000026,54.692319,-3.385834
E07000027,54.127483,-3.217098
E07000028,54.903050,-2.915178
E07000029,54.483092,-3.515446
E07000030,54.647511,-2.667109
E07000031,54.282540,-2.862124
E07000032,53.039845,-1.415811
E07000033,53.202646,-1.274085
E07000034,53.246850,-1.420227
E07000035,53.122804,-1.650313
E07000036,52.933868,-1.318609
E07000037,53.358865,-1.950951
E07000038,53.241426,-1.415190
E07000039,52.814524,-1.547525
E07000040,50.711923,-3.276968
E07000041,50.721752,-3.515641
E07000042,50.872970,-3.506351
E07000043,51.098098,-4.046898
E07000044,50.359454,-3.812006
E07000045,50.564476,-3.592468
E07000046,50.952745,-4.217616
E07000047,50.627129,-4.067720
E07000061,50.784798,0.286556
E07000062,50.867503,0.570207
E07000063,50.834154,0.031113
E07000064,50.906177,0.519661
E07000065,50.953847,0.202952
E07000066,51.591360,0.466323
E07000067,51.889129,0.593241
E07000068,51.631095,0.320409
E07000069,51.545607,0.582675
E07000070,51.719629,0.495667
E07000071,51.879257,0.884446
E07000072,51.674435,0.089362
E07000073,51.763612,0.107537
E07000074,51.713615,0.738646
E07000075,51.592023,0.661132
E07000076,51.845050,1.151248
E07000077,51.925551,0.278396
E07000078,51.898587,-2.084566
E07000079,51.788360,-1.890557
E07000080,51.808340,-2.519729
E07000081,51.849762,-2.234825
E07000082,51.726835,-2.276782
E07000083,51.929120,-2.121192
E07000084,51.277957,-1.139735
E07000085,51.062417,-0.925120
E07000086,50.941243,-1.337412
