code,name,lat,lon,msoa_count
Aberta dos Morros,Aberta dos Morros,-30.158825549999953,-51.204112791765226,12
Agronomia,Agronomia,-30.072776399999945,-51.127948252896424,8
Anchieta,Anchieta,-29.98165094999996,-51.16767235325804,6
Arquipélago,Arquipélago,-29.99650254999994,-51.24464997731141,28
Auxiliadora,Auxiliadora,-30.021370599999955,-51.19217949110167,21
Azenha,Azenha,-30.051890849999975,-51.21353828215024,33
Bela Vista,Bela Vista,-30.03288964999995,-51.19014410256368,22
Belém Novo,Belém Novo,-30.211305599999942,-51.1785765774119,20
Belém Velho,Belém Velho,-30.11510024999995,-51.15460521603104,17
Boa Vista,Boa Vista,-30.0241844000333,-51.17337201090048,20
Boa Vista do Sul,Boa Vista do Sul,-30.234161149999945,-51.14300945546424,6
Bom Fim,Bom Fim,-30.032076599999982,-51.218832297484525,26
Bom Jesus,Bom Jesus,-30.04590319999994,-51.15554899803615,45
Camaquã,Camaquã,-30.107149249999956,-51.24136376443538,33
Campo Novo,Campo Novo,-30.138216339760632,-51.197664164578384,15
Cascata,Cascata,-30.09059851158438,-51.16774923111592,24
Cavalhada,Cavalhada,-30.112257849999963,-51.22893694535007,52
Centro Histórico,Centro Histórico,-30.029808149999944,-51.234688378506775,95
Chapéu do Sol,Chapéu do Sol,-30.175361249999945,-51.16121132152092,10
Chácara das Pedras,Chácara das Pedras,-30.034477899999924,-51.163514118784605,10
Cidade Baixa,Cidade Baixa,-30.03948549999996,-51.22420427516991,39
Coronel Aparício Borges,Coronel Aparício Borges,-30.076192125394606,-51.17636708885186,32
Costa e Silva,Costa e Silva,-30.008056244606912,-51.12411007715084,25
Cristal,Cristal,-30.087086599999935,-51.243674681614635,60
Cristo Redentor,Cristo Redentor,-30.011264799999964,-51.1550483055465,33
Espírito Santo,Espírito Santo,-30.148685899999975,-51.21118804037962,10
Extrema,Extrema,-30.208253549999927,-51.05685200871904,14
Farrapos,Farrapos,-29.980291600663968,-51.20019045426773,33
Farroupilha,Farroupilha,-30.036541499999963,-51.214681658892815,2
Floresta,Floresta,-30.01879164999994,-51.21378740967394,23
Glória,Glória,-30.081605523250076,-51.18968268906956,33
Guarujá,Guarujá,-30.157635049999946,-51.217517324919385,11
Higienópolis,Higienópolis,-30.016164749999938,-51.187603331367356,18
Humaitá,Humaitá,-29.98287444999996,-51.18963942475347,26
Hípica,Hípica,-30.154180206731823,-51.18144989789424,41
Independência,Independência,-30.027488899999952,-51.21317566706348,22
Ipanema,Ipanema,-30.135622049999935,-51.213020017528834,24
Jardim Botânico,Jardim Botânico,-30.052518749999955,-51.176054114686565,25
Jardim Carvalho,Jardim Carvalho,-30.05485734999996,-51.153355947596026,46
Jardim Europa,Jardim Europa,-30.02547664999993,-51.158726840998135,7
Jardim Floresta,Jardim Floresta,-30.000559049999964,-51.15906864600308,5
Jardim Isabel,Jardim Isabel,-30.126981411236308,-51.236788840928924,4
Jardim Itu,Jardim Itu,-30.020252586363323,-51.13389595624064,32
Jardim Leopoldina,Jardim Leopoldina,-30.020807885225786,-51.11475680971576,36
Jardim Lindóia,Jardim Lindóia,-30.004306599999943,-51.15169351667913,15
Jardim Sabará,Jardim Sabará,-30.03581726631593,-51.142020659469495,24
Jardim São Pedro,Jardim São Pedro,-30.00415874999996,-51.16497441774346,7
Jardim do Salso,Jardim do Salso,-30.050990749999947,-51.16846523935431,13
Lageado,Lageado,-30.187665409219818,-51.12636261806891,9
