msoa21cd,msoa21nm,ltla22cd,ltla22nm
431490205000001,431490205000001,Centro Histórico,Centro Histórico
431490205000002,431490205000002,Centro Histórico,Centro Histórico
431490205000003,431490205000003,Centro Histórico,Centro Histórico
431490205000004,431490205000004,Centro Histórico,Centro Histórico
431490205000005,431490205000005,Centro Histórico,Centro Histórico
431490205000006,431490205000006,Centro Histórico,Centro Histórico
431490205000007,431490205000007,Centro Histórico,Centro Histórico
431490205000008,431490205000008,Centro Histórico,Centro Histórico
431490205000009,431490205000009,Centro Histórico,Centro Histórico
431490205000010,431490205000010,Centro Histórico,Centro Histórico
431490205000011,431490205000011,Centro Histórico,Centro Histórico
431490205000012,431490205000012,Centro Histórico,Centro Histórico
431490205000013,431490205000013,Centro Histórico,Centro Histórico
431490205000014,431490205000014,Centro Histórico,Centro Histórico
431490205000015,431490205000015,Centro Histórico,Centro Histórico
431490205000016,431490205000016,Centro Histórico,Centro Histórico
431490205000017,431490205000017,Centro Histórico,Centro Histórico
431490205000018,431490205000018,Centro Histórico,Centro Histórico
431490205000019,431490205000019,Centro Histórico,Centro Histórico
431490205000020,431490205000020,Centro Histórico,Centro Histórico
431490205000021,431490205000021,Centro Histórico,Centro Histórico
431490205000022,431490205000022,Centro Histórico,Centro Histórico
431490205000023,431490205000023,Centro Histórico,Centro Histórico
431490205000024,431490205000024,Centro Histórico,Centro Histórico
431490205000025,431490205000025,Centro Histórico,Centro Histórico
431490205000026,431490205000026,Centro Histórico,Centro Histórico
431490205000030,431490205000030,Centro Histórico,Centro Histórico
431490205000031,431490205000031,Centro Histórico,Centro Histórico
431490205000032,431490205000032,Centro Histórico,Centro Histórico
431490205000033,431490205000033,Centro Histórico,Centro Histórico
431490205000034,431490205000034,Centro Histórico,Centro Histórico
431490205000035,431490205000035,Centro Histórico,Centro Histórico
431490205000036,431490205000036,Centro Histórico,Centro Histórico
431490205000037,431490205000037,Centro Histórico,Centro Histórico
431490205000038,431490205000038,Centro Histórico,Centro Histórico
431490205000039,431490205000039,Centro Histórico,Centro Histórico
431490205000040,431490205000040,Centro Histórico,Centro Histórico
431490205000041,431490205000041,Centro Histórico,Centro Histórico
431490205000042,431490205000042,Centro Histórico,Centro Histórico
431490205000043,431490205000043,Centro Histórico,Centro Histórico
431490205000044,431490205000044,Centro Histórico,Centro Histórico
431490205000045,431490205000045,Centro Histórico,Centro Histórico
431490205000046,431490205000046,Centro Histórico,Centro Histórico
431490205000047,431490205000047,Centro Histórico,Centro Histórico
